,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-03-24,3190.4871257087257,3034.8722852805886,3390.768797374466,3190.4871257087257,3190.4871257087257,24.372997786580477,24.372997786580477,24.372997786580477,24.372997786580477,24.372997786580477,24.372997786580477,0.0,0.0,0.0,3214.860123495306
1,2021-03-25,3192.632017564126,3052.2411874928393,3384.8184656118788,3192.632017564126,3192.632017564126,23.731277693948336,23.731277693948336,23.731277693948336,23.731277693948336,23.731277693948336,23.731277693948336,0.0,0.0,0.0,3216.3632952580742
2,2021-03-26,3194.776909419526,3035.3874827092627,3388.684628288969,3194.776909419526,3194.776909419526,17.417361652698702,17.417361652698702,17.417361652698702,17.417361652698702,17.417361652698702,17.417361652698702,0.0,0.0,0.0,3212.1942710722246
3,2021-03-29,3201.2115849857273,3037.3096829940014,3383.0537143402235,3201.2115849857273,3201.2115849857273,15.795904411502258,15.795904411502258,15.795904411502258,15.795904411502258,15.795904411502258,15.795904411502258,0.0,0.0,0.0,3217.0074893972296
4,2021-03-30,3203.3564768411275,3051.8501955261286,3410.5561401539862,3203.3564768411275,3203.3564768411275,24.877911174275678,24.877911174275678,24.877911174275678,24.877911174275678,24.877911174275678,24.877911174275678,0.0,0.0,0.0,3228.234388015403
5,2021-03-31,3205.501368696528,3050.4034497882835,3412.692769879428,3205.501368696528,3205.501368696528,24.37299778657709,24.37299778657709,24.37299778657709,24.37299778657709,24.37299778657709,24.37299778657709,0.0,0.0,0.0,3229.874366483105
6,2021-04-01,3207.646260551928,3053.964373921913,3399.6204889707096,3207.646260551928,3207.646260551928,23.731277693981397,23.731277693981397,23.731277693981397,23.731277693981397,23.731277693981397,23.731277693981397,0.0,0.0,0.0,3231.37753824591
7,2021-04-05,3216.2258279735297,3057.6066045120742,3406.0866713694822,3216.2258279735297,3216.2258279735297,15.79590441159519,15.79590441159519,15.79590441159519,15.79590441159519,15.79590441159519,15.79590441159519,0.0,0.0,0.0,3232.021732385125
8,2021-04-06,3218.37071982893,3074.6598605645377,3432.806840402519,3218.37071982893,3218.37071982893,24.877911174286528,24.877911174286528,24.877911174286528,24.877911174286528,24.877911174286528,24.877911174286528,0.0,0.0,0.0,3243.2486310032164
9,2021-04-07,3220.5156117322545,3074.33781165739,3428.214286718862,3220.5156117322545,3220.5156117322545,24.37299778657737,24.37299778657737,24.37299778657737,24.37299778657737,24.37299778657737,24.37299778657737,0.0,0.0,0.0,3244.888609518832
